2026-01-26 14:11:42.051 | INFO     | request_id - 1 | app.agent.nodes.extract_keywords:extract_keywords:35 - 抽取关键字: ['华北地区', '统计', '统计华北地区的销售总额', '销售总额']
2026-01-26 15:01:44.045 | INFO     | request_id - 1 | app.agent.nodes.extract_keywords:extract_keywords:35 - 抽取关键字: ['销售总额', '统计', '统计华北地区的销售总额', '华北地区']
2026-01-26 15:01:48.240 | INFO     | request_id - 1 | app.agent.nodes.recall_column:recall_column:48 - 召回字段信息：['fact_order.order_amount', 'fact_order.order_quantity', 'dim_region.region_name', 'dim_region.province', 'dim_region.country', 'fact_order.date_id', 'dim_date.date_id']
2026-01-26 15:40:46.574 | INFO     | request_id - 1 | app.agent.nodes.extract_keywords:extract_keywords:35 - 抽取关键字: ['统计华北地区的销售总额', '销售总额', '华北地区', '统计']
2026-01-26 15:40:48.397 | INFO     | request_id - 1 | app.agent.nodes.recall_value:recall_value:43 - 召回字段取值：['dim_region.region_name.华北']
2026-01-26 15:40:49.436 | INFO     | request_id - 1 | app.agent.nodes.recall_column:recall_column:48 - 召回字段信息：['fact_order.order_amount', 'dim_region.region_name', 'dim_region.province', 'dim_region.country', 'fact_order.order_quantity', 'fact_order.date_id', 'dim_date.date_id']
2026-01-26 15:51:26.868 | INFO     | request_id - 1 | app.agent.nodes.extract_keywords:extract_keywords:35 - 抽取关键字: ['统计华北地区的销售总额', '统计', '销售总额', '华北地区']
2026-01-26 15:51:28.420 | INFO     | request_id - 1 | app.agent.nodes.recall_value:recall_value:43 - 召回字段取值：['dim_region.region_name.华北']
2026-01-26 15:51:29.229 | INFO     | request_id - 1 | app.agent.nodes.recall_column:recall_column:48 - 召回字段信息：['fact_order.date_id', 'dim_date.date_id', 'fact_order.order_amount', 'fact_order.order_quantity', 'dim_region.region_name', 'dim_region.province', 'dim_region.country']
2026-01-26 15:51:30.601 | INFO     | request_id - 1 | app.agent.nodes.recall_metric:recall_metric:45 - 召回指标信息：['GMV', 'AOV']
2026-01-27 10:04:07.058 | INFO     | request_id - 1 | app.agent.nodes.extract_keywords:extract_keywords:35 - 抽取关键字: ['销售总额', '统计', '华北地区', '统计华北地区的销售总额']
2026-01-27 10:04:08.359 | INFO     | request_id - 1 | app.agent.nodes.recall_value:recall_value:43 - 召回字段取值：['dim_region.region_name.华北']
2026-01-27 10:04:09.785 | INFO     | request_id - 1 | app.agent.nodes.recall_column:recall_column:48 - 召回字段信息：['fact_order.order_amount', 'fact_order.order_quantity', 'fact_order.date_id', 'dim_date.date_id', 'dim_region.region_name', 'dim_region.province', 'dim_region.country']
2026-01-27 10:04:10.678 | INFO     | request_id - 1 | app.agent.nodes.recall_metric:recall_metric:45 - 召回指标信息：['GMV', 'AOV']
2026-01-27 10:04:10.744 | INFO     | request_id - 1 | app.agent.nodes.merge_retrieved_info:merge_retrieved_info:72 - 合并召回信息: 表信息-['fact_order', 'dim_date', 'dim_region'],指标信息-['GMV', 'AOV']
